gene,cluster,avg_log2FC
AT2G36100,4,4.12697815371007
AT3G22620,4,3.92333472357072
AT5G42180,4,3.78339200553165
AT2G28670,4,3.6657394005225
AT4G11290,4,3.58731006642604
AT2G32300,4,3.53545205387198
AT2G14900,4,3.49162448886742
AT2G27370,4,3.38912024528672
AT2G37170,4,3.26910202634081
AT4G26320,4,3.19812057492813
AT2G37180,4,2.86433967844138
AT5G57620,4,2.79848301243057
AT3G32980,4,2.74899961562845
AT4G08770,4,2.41736999354766
AT1G75750,4,3.67431320283506
AT5G66390,4,3.49918708693809
AT2G36830,4,2.67729099392484
AT2G44790,4,2.70799947630855
AT3G53420,4,2.53599539455686
AT5G40450,4,2.33034069715822
AT1G55330,4,2.52767242882122
AT3G61430,4,2.44591534401345
AT1G62480,4,2.63035850675742
AT3G13520,4,2.20437860978613
AT3G19450,4,2.73653795445081
AT3G56240,4,2.26425092750773
AT4G34050,4,2.10884970047793
AT4G12520,4,2.01515318706287
AT2G43150,4,2.00267079344489
AT2G37040,4,1.87292531325282
AT4G13340,4,1.76086466457532
AT1G01620,4,1.76333184363923
AT5G01600,4,1.81775118395245
AT5G41790,4,1.55178213457001
AT5G65390,4,1.76983752830656
AT2G45960,4,1.77733559194237
AT3G16240,4,1.61164780047556
AT4G20260,4,1.30076338958608
AT4G12510,4,1.71732654490874
AT5G57560,4,1.78177091315047
AT5G56540,4,1.3941734907717
AT3G14990,4,1.69744559805086
AT3G22830,4,1.49082497039184
AT2G40890,4,1.53480442234628
AT2G45820,4,1.49326722755185
AT1G11580,4,1.55258613605929
AT1G52760,4,1.49970348113471
AT1G12090,4,1.36108860449311
AT5G54160,4,1.56313839866782
AT5G46890,4,1.25464292425201
AT3G26520,4,1.52766098268979
AT5G24580,4,1.49891219487233
AT5G10430,4,1.4400213972265
AT1G72150,4,1.16516241603391
AT4G31800,4,1.5410688233862
AT2G16720,4,1.36817222503786
AT2G30490,4,1.13566519467244
AT5G53250,4,1.17702315157036
